Protein.Ids	-Log(P-value)	Difference
A2RSY1	0.42871868923317163	-0.354451497395836
A2RSY6	0.9391863392485899	-0.0564244588216134
A2RTL5	0.6474551605314578	0.503601710001625
A2TJV2	0.9943174774611961	0.0138943990071603
A3KFM7	0.960736817908534	0.215944290161133
A3KFU5	0.6530033820969777	0.156313578287758
A3KFU8	0.8542370059266462	-0.816679318745933
A3KGF9	0.7154401896143772	-1.28233655293782
A3KGS3	0.6578868024567734	-1.74950313568115
A3KGV1	0.9790785522344978	-0.0250059763590507
A3KGW5	0.9274976103041003	0.362757364908855
A3KMP2	0.6620848231406504	-0.711277008056641
A6H5X4	0.8630996107781689	-0.34076754252116
A6H5Y3	0.8819813713863613	0.0504252115885393
A6H5Z3	0.45275837476729974	-0.837517420450848
A6H611	0.8053191984272378	0.472677230834961
A6H619	0.6142268046357447	-0.515174865722656
A6H630	0.6599378666347988	0.233768463134766
A6H6E2	0.8050943438288168	-0.479934692382813
A6H8H2	0.7005228872700577	0.285060246785484
A6PWY4	0.8506678383969534	0.170618057250977
P0CW70	0.8455755048517476	-0.819944381713867
A8C756	0.6956000861384027	-0.673617680867515
A8Y5E8	0.9852262833696913	-0.0806204477945975
A8Y5H7	0.6969910932236116	-0.203126907348633
Q5BN45	0.732560758487083	-0.906601587931313
Q3UE31	0.9207090059903361	-0.136165618896484
B1AQJ2	0.7745608404121286	-0.246905008951821
B1AR09	0.7625215624608622	-0.679798762003582
B1AR13	0.7276787674497296	-1.62285264333089
B1AR17	0.7510337930025411	-1.28077761332194
B1AR69	0.7485668722991556	1.03888130187988
B1ARD6	0.9800974939655381	0.0785166422526054
V9GX23	0.7388682372472293	-1.54891618092855
B1AS29	0.7395437819108337	-1.44283866882324
B1AT83	0.6870166117278816	-1.54163551330566
B1AU75	0.9450921223616773	-0.356381416320801
B1AUE5	0.9272335560106685	0.0630098978678397
B1AUN3	0.9910828542387351	-0.0172939300537109
B1AUR6	0.745014888883887	0.996716817220051
Q3UJP5	0.43648695667020054	-1.19837760925293
A0A571BDL9	0.5855287272075681	0.417926152547199
B1AVD1	0.6769597576298512	-1.73427263895671
B1AVH7	0.9123829958586042	0.38469123840332
B1AVY7	0.5057067713265865	-1.70576159159343
B1AVZ0	0.8428216798185528	-0.421718597412109
B1AWL2	0.4477366154592705	-0.440256754557293
B1AX39	0.6497833909532326	-1.22265434265137
B1AY10	0.7976908744245156	-0.186529159545898
B1AY13	0.9004500299073993	0.0878899892171212
B1AZA5	0.7339664026145492	-0.283664067586262
B1AZI6	0.8579688741209546	-0.30229377746582
B1AZP2	0.9271234303947297	0.310546875
Q3UWZ4	0.9095641108913018	-0.533767700195313
B2KF05	0.6840796254742331	-1.06304359436035
B2KF50	0.4705301543928191	-0.632553736368816
E0CXT7	0.9043130065256132	-0.595505396525066
B2RQC2	0.5342238059011667	-1.34603881835938
B2RQC6	0.43518338094562903	0.195508321126304
B2RQE8	0.9108500439040439	0.422051747639973
B2RQG2	0.8586592275165319	0.212509155273438
B2RR83	0.8861977700265159	-0.256169001261391
B2RRD7	0.7328957512289698	-1.1128298441569
B2RRE4	0.7756056597358819	-0.46114222208659
B2RRE7	0.976197782003323	-0.0317153930664063
B2RRF6	0.728547637717386	-0.822226206461586
B2RS91	0.7812871688050216	-0.457017262776695
B2RSH2	0.9866123671785115	-0.0301392873128243
B2RT41	0.964764306311241	-0.0203501383463554
A0A0A0MQD2	0.7966829926214845	-0.733163833618164
A0A5F8MPT3	0.675346548161402	-0.623289744059246
B2RUP2	0.8812774215427943	-0.538631439208984
B2RWS6	0.7466049862060393	-0.860883712768555
B2RX14	0.8172368627730496	-0.176678339640301
A0A0G2JG70	0.6604182105507352	-1.01945432027181
B2RXC1	0.7131407445998873	0.236508687337242
B2RXC6	0.6632668129815202	-0.290666580200195
B2RXW8	0.9033015048082564	-0.111345926920574
Q8BIZ8	0.6494022986885437	-0.562084197998047
B2RXS4	0.5669690767302925	-0.395481745402019
B2RXT3	0.24566810828216437	0.352906545003254
B2RY04	0.5612274286967998	0.176439921061199
B2RY56	0.8232422735992948	0.260901769002277
B7ZC24	0.8640922641320514	-0.287757873535156
B7ZCR6	0.9410162284802963	-0.172573089599609
B7ZMP1	0.9173553881876497	-0.166719436645508
B7ZNG0	0.7078237802333303	-1.16137186686198
B7ZNG4	0.8089920379202147	-0.596306482950848
Q52KR6	0.8513042401002023	-0.857292811075848
B8JJG9	0.7624630908756611	-1.00338427225749
B8JK07	0.9037482930946396	-0.515630404154461
B8ZXI1	0.7071114443858335	0.490722020467121
B9EJ54	0.8708440609754505	-0.0998045603434221
B9EJ80	0.8581424668050783	-0.335311889648438
B9EJ86	0.5616661948583036	-1.59116172790527
B9EJA2	0.7840888605084952	-1.30579884847005
B9EJR8	0.695506414860613	-0.563160578409832
B9EKI3	0.7947633585606625	-0.408554077148438
Q3UI14	0.9695952822042784	-0.121905644734699
C0HK79	0.912884113376755	0.434911092122398
C0HKD8	0.6385827999789596	0.290681203206383
C0HKE9	0.931331602947627	-0.388959884643555
C0HKG6	0.9054444084328792	-0.101476033528645
D2EAC2	0.5848120512188937	-0.297259012858074
D3Z5E5	0.988287838734252	-0.0285708109537772
D3YUS5	0.6764134827064461	-1.37203025817871
E9PV36	0.8515191436116823	-0.81987921396891
D3Z4Z0	0.9099002592028684	-0.398656209309895
D3YW42	0.7954800913115895	-0.962759335835774
D3YWT1	0.7605981777619971	0.191991806030273
F6YTL8	0.8079178033338983	-0.54866663614909
D3YXK0	0.9540666248359219	0.450592676798504
D3YXK1	0.9895063340023662	0.00922711690266809
D3YXK2	0.8260525331520848	0.113684972127281
D3YXN8	0.8753030847660369	0.923537572224937
D3YXZ3	0.804208491079556	-0.51969273885091
