"","protein","k"
"DGKB","DGKB",5
"ZFPM1","ZFPM1",5
"CDKN1A","CDKN1A",5
"DENND4A","DENND4A",5
"RETREG1","RETREG1",5
"ARHGAP44","ARHGAP44",5
"BTG1","BTG1",5
"DGKG","DGKG",5
"NT5C3B","NT5C3B",5
"KLC1.1","KLC1.1",5
"EYA2","EYA2",5
"TLX3","TLX3",5
"MIGA2","MIGA2",5
"PRRT1","PRRT1",5
"NCAM1.1","NCAM1.1",5
"PHOX2B","PHOX2B",5
"KIF19","KIF19",5
"LPGAT1","LPGAT1",5
"PLXNA2","PLXNA2",5
"STBD1","STBD1",5
"CYP4V2","CYP4V2",5
"DPF1","DPF1",5
"THBS3","THBS3",5
"MAP6","MAP6",5
"NEUROG2","NEUROG2",5
"NCAM1","NCAM1",5
"GNG8","GNG8",5
"MACF1.2","MACF1.2",5
"CNTFR","CNTFR",5
"SPOCK2","SPOCK2",5
"TECPR1","TECPR1",5
"GFRA2","GFRA2",5
"FRY","FRY",5
"FMNL1.1","FMNL1.1",5
"SLFN5","SLFN5",5
"RAB26","RAB26",5
"PELI2","PELI2",5
"DLK1","DLK1",5
"ABHD6","ABHD6",5
"SLC44A3","SLC44A3",5
"BSN","BSN",5
"TULP4","TULP4",5
"SHC2","SHC2",5
"FLRT2","FLRT2",5
"MYO18A","MYO18A",5
"CACNB3","CACNB3",5
"FMN2.1","FMN2.1",5
"GPRIN3","GPRIN3",5
"HGSNAT","HGSNAT",5
"DPF3","DPF3",5
"ADGRG1","ADGRG1",5
"IGDCC3","IGDCC3",5
"TMCC2","TMCC2",5
"KDM6B","KDM6B",5
"ALDH1L2","ALDH1L2",5
"GALNT16","GALNT16",5
"PEX5L","PEX5L",5
"EEF1D","EEF1D",5
"PRSS12","PRSS12",5
"NTRK1","NTRK1",5
"PLCB1","PLCB1",5
"ACAP3","ACAP3",5
"DISP2","DISP2",5
"SPTBN4","SPTBN4",5
"LRFN1","LRFN1",5
"ENC1","ENC1",5
"XIRP1","XIRP1",5
"KLHDC8A","KLHDC8A",5
"ROBO2","ROBO2",5
"CHRNA3","CHRNA3",5
"TMEM169","TMEM169",5
"XKR7","XKR7",5
"ISL2","ISL2",5
"RUNDC3A","RUNDC3A",5
"MAPK8IP2","MAPK8IP2",5
"KIAA0513","KIAA0513",5
"MYL4","MYL4",5
"LDB3","LDB3",5
"ADARB1","ADARB1",5
"SMPD1","SMPD1",5
"ZBTB18","ZBTB18",5
"PNMA2","PNMA2",5
"OLIG3","OLIG3",5
"RBP2","RBP2",5
"STARD13","STARD13",5
"PRX","PRX",5
"SDK2","SDK2",5
"ST3GAL6","ST3GAL6",5
"SLC6A15","SLC6A15",5
"NANOS1","NANOS1",5
"IGSF11","IGSF11",5
"DNAJC12","DNAJC12",5
"HES6","HES6",5
"HES6.1","HES6.1",5
"LOXL1","LOXL1",5
"NPTX1","NPTX1",5
"LZTS1","LZTS1",5
"KCTD8","KCTD8",5
"PROX1","PROX1",5
"INSM1","INSM1",5
"CPLX2","CPLX2",5
"KALRN","KALRN",5
"AGAP1","AGAP1",5
"ADCY9","ADCY9",5
"PCDHB10","PCDHB10",5
"NKD1","NKD1",5
"SDCCAG8","SDCCAG8",5
"LMO1","LMO1",5
"CACNG5","CACNG5",5
"RAPGEF5","RAPGEF5",5
"FBXL7","FBXL7",5
"ATXN7","ATXN7",5
"ISL1","ISL1",5
"FBXO10","FBXO10",5
"PABPC5","PABPC5",5
"GFRA1","GFRA1",5
"TTC7B","TTC7B",5
"NPTX2","NPTX2",5
"SYT11","SYT11",5
"TAGLN3","TAGLN3",5
"SORCS2","SORCS2",5
"SAT2","SAT2",5
"PPARD","PPARD",5
"MTMR4","MTMR4",5
"SOX5","SOX5",5
"ABHD3","ABHD3",5
"ARHGAP6","ARHGAP6",5
"CCND3","CCND3",5
"GALNT18","GALNT18",5
"USP38","USP38",5
"ARHGEF25","ARHGEF25",5
"GPRC5C","GPRC5C",5
"HEYL","HEYL",5
"ESRRG","ESRRG",5
"SMARCA2","SMARCA2",5
"CCND2","CCND2",5
"PCDH8","PCDH8",5
