Protein.Ids	pval	Difference
A2AQ14	0.9922616395695711	0.0181827545166016
A2AQ19	0.9335088644009804	-0.102536201477051
A2AQ25	0.837403303061684	-0.529549280802408
A2AQH4	0.8687543967923047	0.0604724884033203
A2AR02	0.9092329800286204	0.206451416015625
A2ARW5	0.4295338275715345	-1.32741324106852
A2ARW1	0.8763212608680229	0.701128323872885
A2ARW3	0.995609544889336	0.0174115498860683
F6QHQ5	0.7662080132770768	-0.673617680867512
A2ASQ1	0.9296960980131168	-0.217854181925455
A2ASS6	0.8653320730622117	-0.126248041788738
A2AT37	0.8996314260716421	0.429294586181641
A2ATU0	0.9330045409784326	-0.152504920959473
A2ATY4	0.7674409194406755	-1.426895459493
A0A087WRH0	0.8551138421729113	-0.214931488037109
A2AUM9	0.9225770221262097	0.568504333496094
A2AUY4	0.8747199495474192	0.224245707194012
A2AWA9	0.7735563725067707	0.54108492533366
A2AWL7	0.5512612489672453	-0.526999791463219
A2AWT7	0.823118572004849	0.842655817667641
A2BDX3	0.9036078792664473	0.42877451578776
A2BDX4	0.7096156818733398	-0.779284795125324
A2BE28	0.6906304676432803	-0.230002721150715
A2BH40	0.9309750057909993	0.16802978515625
A2BHQ2	0.6118698948606108	-0.529930432637531
A2BI40	0.9368304802137406	-0.097251256306965
A2CG63	0.961631460916858	0.0287726720174142
A2CG76	0.9868092940763893	-0.0167369842529297
P54729	0.3232143019705825	1.70151042938232
E9Q3G5	0.9625216203277813	-0.139570554097494
A2RSY1	0.8458833605280404	0.766074816385906
A2RSY6	0.9351856128096119	0.191098213195801
A2RTL5	0.5164298434819639	3.15857696533203
A2TJV2	0.861770976142979	-0.51604143778483
A3KFM7	0.8848883906402925	-0.35395622253418
A3KFU5	0.9365570027544455	0.205737431844078
A3KGI3	0.886063140927605	-0.602749188741049
A3KGV1	0.7321239340194681	-1.38500467936198
A6H5X4	0.5899176899729093	-0.693158467610678
A6H5Y3	0.9507633983453765	-0.256416320800781
A6H611	0.632727178164708	-1.34414354960124
A6H619	0.9833286251654033	0.0290209452311174
A6H630	0.8112272041574173	0.479005813598633
A6H8H2	0.6632541224485036	-0.481571833292643
A6PWY4	0.7409374503941147	0.279835383097332
A6X935	0.90579815424628	-0.315436363220215
A7XUY5	0.9432014407219815	-0.195302963256836
A8C756	0.6892109076465022	1.68667411804199
A8Y5E8	0.4831339416908358	-2.25558185577393
A8Y5H7	0.7177665934018933	-0.997480710347494
A9C497	0.8426527722456529	0.714096069335938
B1AQJ2	0.708483855401462	-0.350750605265301
B1AR09	0.5497779549773335	0.858083407084147
B1AR17	0.9029984064932345	0.564208666483561
B1ARD6	0.8961380574821334	0.148232460021973
B1AUE5	0.644953883624812	1.3896697362264
B1AUN3	0.9833384873025678	-0.0980246861775722
B1AUR6	0.8424600756542886	-0.908360163370768
B1AVB1	0.5550005621574388	0.939718882242836
B1AWL2	0.8905256000896379	-0.156108220418297
B1AX39	0.573529437678951	-0.993962923685711
B1AY10	0.7516860945683582	-0.981268246968588
B1AY13	0.7212299064244897	-1.09306685129801
B1AYD6	0.8261887942592988	0.325113296508789
B1AZ99	0.9074264054920123	-0.403071403503418
B1AZI6	0.7525540445640879	-0.561573664347328
Q3UWZ4	0.4572179904829447	1.10139020284017
B2KF05	0.8917761273425753	-0.0538018544514962
H3BKD0	0.8871481648919171	0.254333178202312
B2RPU8	0.6942522036858877	0.443778038024902
B2RQC2	0.8110371854151366	-0.960899670918781
B2RQC6	0.8024342606772371	0.761685689290363
B2RQE8	0.6710615311826381	-1.0121431350708
B2RQG2	0.8110805627607167	1.12660948435466
S4R299	0.6459984978051464	0.457537015279135
B2RR83	0.9963407929566815	0.0172761281331386
B2RRD7	0.7446311161867891	0.135119120279949
B2RRE4	0.6940340389136779	-0.442840576171875
B2RRE7	0.746022476358246	0.323528925577801
B2RRF6	0.8362680420875935	-0.315738677978516
B2RS91	0.9657600417580059	0.150111516316732
B2RT41	0.9963742687473591	0.0187133153279628
B2RUF0	0.8687394865415843	-0.378695170084635
B2RW11	0.9613629808692383	-0.136260350545246
B2RWS6	0.5766229887378929	-0.583942413330078
B2RX14	0.9924986809602874	-0.0264317194620762
B2RXC1	0.9883422104179896	-0.025394121805828
B2RXC6	0.6901787006288846	0.213665008544922
B2RXW8	0.9894852763602955	0.0594987869262695
B2RXR6	0.7087897978664723	-0.465596516927084
